neuron_1,neuron_2,neuron3
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
